S
a
d
Neutral
Sad
Fear
Happy
Sad
Neutral
Angry
Fear
Angry
Angry
Angry
Angry
Angry
Neutral
Fear
Fear
Fear
Fear
Happy
Angry
Angry
Angry
Fear
Angry
Fear
Fear
Neutral
Angry
Fear
Fear
Fear
Fear
Fear
Neutral
Fear
Neutral
Fear
Neutral
Fear
Neutral
Neutral
Sad
Neutral
Neutral
Fear
Neutral
Fear
Angry
Neutral
Fear
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Fear
Angry
Neutral
Fear
Neutral
Happy
Fear
Neutral
Fear
Angry
Neutral
Sad
Fear
Angry
Neutral
Happy
Angry
Happy
Neutral
Angry
Neutral
Fear
Angry
Neutral
Sad
Fear
Angry
Neutral
Angry
Neutral
Happy
